,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
4831,Do you have a menu?,wach 3andak menu?,واش عانداك منو?,هل لديكم قائمة طعام؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4832,Are there any specials?,wach kaynin chi 3orod khaSa?,واش كاينين شي عورود خاصا?,هل يوجد أي عروض خاصة؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4833,Would you like an orange juice?,wach bghiti 3aSir tlimoun?,واش بغيتي عاصير تليمون?,هل ترغب في عصير برتقال؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4834,We have some special plates,3anda chi aTba9 khaSSa,عاندا شي أطباق خاصّا,لدينا بعض الأطباق الخاصة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4835,It's very good with a mojito,rah mzyan m3a mojito,راه مزيان معا موجيتو,إنه جيد جدًا مع موهيتو,TRUE,AMRAOUI Nouhaila,,راه مزيان معا موخيتو,FALSE,Rajaa,,,,,
4836,I'm not that hungry actually,ana maji3anch sara7a,أنا ماجيعانش ساراحا,أنا لست جائعًا لهذا الحد في الواقع,TRUE,AMRAOUI Nouhaila,,أنا ماجيعانش لديك داراجا صاراحا,FALSE,Rajaa,,,,,
4837,I'm not that hungry actually,ana mafiach jo3 bzaf sara7a,أنا مافياش جوع بزاف ساراحا,أنا لست جائعًا فعلًا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4838,But what do you mean by a piece of it?,walakin ach kat9Sad b chwiya mno?,والاكين أش كاتقصاد ب شوييا منو?,لكن ماذا تقصد بقطعة منه؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4839,It's a blackboard,hadi sbbora,هادي سبّورا,إنها لوحة,TRUE,AMRAOUI Nouhaila,,راها لوحا,FALSE,Rajaa,,,,,
4840,"Ok, I think I understand sort of","wakha, kanDn fhamt chwiya","واخا, كانضن فهامت شوييا",حسنًا، أعتقد أنني أفهم إلى حد ما,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4841,"But no thanks, just a nice tea","walakin chokran, ghir chi atay mch77er","والاكين شوكران, غير شي أتاي مشحّر",لكن لا شكرًا، فقط شاي لذيذ,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4842,"Anything with hot water, although I'm not a fan of mint.","ayy 7aja m3a lma skhoun, wakha ana machi mn nnas dyal na3na3","أيّ حاجا معا لما سخون, واخا أنا ماشي من الناس ديال ناعناع",أي شيء بالماء الساخن، على الرغم من أنني لست من محبي النعناع.,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4843,In a nice glass with a straw if you have one!,f kas zwin m3a chi paille ila 3ndk chi wa7da!,ف كاس زوين معا شي پايلّ إلا عندك شي واحدا!,في كأس جميل مع قشة إذا كان لديك واحدة!,TRUE,AMRAOUI Nouhaila,,ف كاس زوين معا شي پاي إلا عندك شي واحدا!,FALSE,Rajaa,,,,,
4844,No mint?,bla n3na3?,بلا نعناع?,لا نعناع؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4845,Would you like a punch?,wach bghiti chi bonya?,واش بغيتي شي بونيا?,هل ترغب في لكمة؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4846,The recipe is made of orange juice and grenadine,lwaSfa mgadda b 3aSir limon o grenadine,لواصفا مڭادّا ب عاصير ليمون أُ ڭرنادين,الوصفة مكونة من عصير البرتقال الرمان,TRUE,AMRAOUI Nouhaila,,لواصفا مڭادّا ب عاصير ليمون أُ رمّان,FALSE,Rajaa,,,,,
4847,"Ah I'm not sure I know what bawlo is, but why not!","ah mamt2akad achnahoa bawlo, walakin 3lach la?","أه مامتأكاد أشناهوا باولو, والاكين علاش لا?",آه، لست متأكدًا من معرفتي بما هو الباولو، ولكن لم لا!,TRUE,AMRAOUI Nouhaila,, آ مامتأكادش أشناهوا باولو، والاكين علاش لا؟,FALSE,Rajaa,,,,,
4848,Could you ask for some pineapple instead of the grenadine perhaps?,wach ta9dar Tlab chwiya dyal ananas blast grenadine imkn?,واش تاقدار طلاب شوييا ديال أناناس بلاست ڭرنادين إمكن?,هل يمكنك طلب بعض الأناناس بدلاً من الرمان الحلو ربما؟,TRUE,AMRAOUI Nouhaila,,واش تاقدار طلاب شوييا ديال أناناس بلاست رمّان؟,FALSE,Rajaa,,,,,
4849,"Anything else, you decide!","ay 7aja khra, nta t9rrar!","أي حاجا خرا, نتا تقرّار!",أي شيء آخر، أنت تقرر!,TRUE,AMRAOUI Nouhaila,,أي حاجا خرا، نتا قرّار!,FALSE,Rajaa,,,,,
4850,and perhaps a bit of coconut milk if you have some,o ymkan chwiya mn l7lib joz lhind ila kan 3ndak chwiya,أُ يمكان شوييا من لحليب جوز لهيند إلا كان عنداك شوييا,وربما قليلاً من حليب جوز الهند إذا كان لديك بعض,TRUE,AMRAOUI Nouhaila,,لوحا,FALSE,Rajaa,,,,,
4851,"Don't worry, I'll do it right now.","matkhafch, ghadi ndirha daba","ماتخافش, غادي نديرها دابا",لا تقلق، سأفعلها الآن.,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4852,And a beautiful umbrella!,o mDall zwiwen!,أُ مضالّ زويون!,ومظلة جميلة!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4853,A board for eating at the same time?,law7a dyal lmakla fnafs lwa9t?,لاوحا ديال لماكلا فنافس لواقت?,لوح للأكل في نفس الوقت؟,TRUE,AMRAOUI Nouhaila,,لوحا ديال لماكلا فنافس لواقت?,FALSE,Rajaa,,,,,
4854,I can do that to you,n9dar ndir hadchi lik,نقدار ندير هادشي ليك,أستطيع أن أفعل ذلك لك,TRUE,AMRAOUI Nouhaila,,نقدار ندير ليك هادشي,FALSE,Rajaa,,,,,
4855,Do you have any preferences?,wach 3andak chi 7aja katfaDlha?,واش عانداك شي حاجا كاتفاضلها?,هل لديك أي تفضيلات؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4856,"Hmm, I wasn't that hungry","hmm, makanch fia chi jooo3","همّ, ماكانش فيا شي جووع",همم، لم أكن جائعًا لهذه الدرجة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4857,But perhaps some chips would be good,walakin imkn chwiya dyal chips aykono mzyanin,والاكين إمكن شوييا ديال شيپس أيكونو مزيانين,ولكن ربما بعض الرقائق ستكون جيدة,TRUE,AMRAOUI Nouhaila,,والاكين واقيلا شوييا ديال فريت أيكونو مزيانين,FALSE,Rajaa,,,,,
4858,No sauce though,ah o bla sauce,أه أُ بلا سوس,لا صلصة مع ذلك,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4859,"I like them lite, with a bit of salt!","ana kanbghihom khfaf, m3a chwiya dyal lmal7a!","أنا كانبغيهوم خفاف, معا شوييا ديال لمالحا!",أحبها خفيفة، مع قليل من الملح!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4860,And why not a burger and a salad too!,o 3lach la chi burger o chlada tahiya!,أُ علاش لا شي بورڭر أُ شلادا تاهييا!,ولماذا لا نضيف برغر وسلطة أيضًا!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4861,"I meant plain for the chips, sorry","9sadt 3adi l chips, sma7 liya","قسادت عادي ل شيپس, سماح لييا",كنت أقصد الشيبس بدون نكهات، آسف,TRUE,AMRAOUI Nouhaila,,قصادت فريت عادية، سماح لييا,FALSE,Rajaa,,,,,
4862,Good in general I serve chips with this cocktail,mzyan 3ammatan ana kansrbi chips m3a had lcocktail,مزيان عامّاتان أنا كانسربي شيپس معا هاد لكوككتايل,بشكل عام أقدم الرقائق مع هذا الكوكتيل,TRUE,AMRAOUI Nouhaila,,مزيان عامّاتان أنا كانسربي فريت معا هاد لكوككتايل,FALSE,Rajaa,,,,,
4863,Is that all right?,wach hadchi mazyan?,واش هادشي مازيان?,هل هذا جيد؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4864,The hamburger will be here later,l hamburger ghadi ykon 8na mn b3d,ل هامبورڭر غادي يكون هنا من بعد,سيكون الهمبرغر هنا لاحقًا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4865,"Ok, I'll have the fish and chips for starter and I'll get the burger later!","wakha, ghadi nakhod l7ot o chips flowel o ghadi nakhod lburger mn ba3d","واخا, غادي ناخود لحوت أُ شيپس فلوول أُ غادي ناخود لبورڭر من باعد",حسنًا، سأطلب السمك والبطاطس للمقبلات وسأحصل على البرغر لاحقًا!,TRUE,AMRAOUI Nouhaila,,"واخا, غادي ناخود لحوت أُ فريت فلوول أُ غادي ناخود لبورڭر من باعد",FALSE,Rajaa,,,,,
4866,I hope there'll be enough room for dessert afterwards!,kantmna tkon ba9ia blasa l ddisir mora hadchi,كانتمنا تكون باقيا بلاسا ل الديسير مورا هادشي,أتمنى أن يكون هناك متسع من المكان للحلوى بعد ذلك!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4867,"You do want desserts, don't you?","bghiti ddissir, yak?","بغيتي الديسّير, ياك?",أنت تريد الحلويات، أليس كذلك؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4868,"Yes, we make desserts.",ah kandiro disir,أه كانديرو ديسير,نعم، نحن نصنع الحلويات.,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4869,A very nice mango soup if you're still hungry after your meal.,chorba dyal mango zwina bzaf ila kna ba9i fik jo3,شوربا ديال مانڭو زوينا بزاف إلا كنا باقي فيك جوع,شوربة المانجو اللذيذة جدًا إذا كنت لا تزال جائعًا بعد وجبتك.,TRUE,AMRAOUI Nouhaila,,شوربا ديال مانڭو زوينا بزاف إلا أيبقا فيك جوع,FALSE,Rajaa,,,,,
4870,"In the meantime, here's your number","fnfs lw9t, hadi hia nmartak","فنفس لوقت, هادي هيا نمارتاك",في غضون ذلك، ها هو رقمك,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4871,We call you when the cocktails are ready,ghadi nsoniw 3lik mnin ikono cocktails wajdin,غادي نسونيو عليك منين إكونو كوككتايلس واجدين,سنتصل بك عندما تكون الكوكتيلات جاهزة,TRUE,AMRAOUI Nouhaila,,غادي نسونيو عليك منين إكونو كوككتايلات واجدين,FALSE,Rajaa,,,,,
4872,Thanks!,chokran,شوكران,شكرًا!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4873,"I might be getting some shots later too, once my friends arrive!","na9dar nzid chi jghmat mn ba3d, mnin yjiw S7abi","ناقدار نزيد شي جغمات من باعد, منين يجيو صحابي",قد أحصل على بعض اللقاحات لاحقًا أيضًا، بمجرد وصول أصدقائي!,TRUE,AMRAOUI Nouhaila,,ناقدار نزيد شي شوتس من باعد، منين يجيو صحابي,FALSE,Rajaa,,,,,
4874,Don't hesitate to come back,matraddadch annak trj3,ماترادّادش أنّاك ترجع,لا تتردد في العودة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4875,"Good night, anyway!",lila sa3ida 3la kol 7al,ليلا ساعيدا علا كول حال,تصبح على خير، على أي حال!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4876,Thanks again!,chokran lik mra khra,شوكران ليك مرا خرا,شكرًا مجددًا!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4877,Good evening!,masa2 lkhir,ماساء لخير,مساء الخير!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4878,"May I have a caipirinha, please?","wach na9dar nakhod caipirinha, 3afak","واش ناقدار ناخود كايپيرينها, عافاك",هل يمكنني الحصول على كايبيرينيا، من فضلك؟,TRUE,AMRAOUI Nouhaila,,"واش ناقدار ناخود كايپيرينا, عافاك",FALSE,Rajaa,,,,,
4879,Sorry I am new here,sma7 liya ana jdid 8na,سماح لييا أنا جديد هنا,آسف، أنا جديد هنا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4880,I really don't know my cocktails yet,ana Sara7atan mazal makan3rfch l cocktails dyali,أنا صاراحاتان مازال ماكانعرفش ل كوككتايلس ديالي,أنا حقًا لا أعرف مشروباتي الكوكتيل بعد,TRUE,AMRAOUI Nouhaila,,أنا صاراحاتان مازال ماكانعرفش ل كوككتايلات ديالي,FALSE,Rajaa,,,,,
4881,Could you tell me how to make it,wach ta9dar tgoliya kifach n9adha?,واش تاقدار تڭولييا كيفاش نقادها?,هل يمكنك أن تخبرني كيف أصنعه,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4882,"You have to mix it with lime juice, sugar and ice",khasak tkhalto m3a 3assir limon o sokar o talj,خاساك تخالتو معا عاسّير ليمون أُ سوكار أُ تالج,عليك خلطه مع عصير الليمون والسكر والثلج,TRUE,AMRAOUI Nouhaila,,خاساك تخالطو معا عاصير ليمون أُ سوكار أُ تالج,FALSE,Rajaa,,,,,
4883,"Ok, shaken or stirred?","wakha, mnkhouD wla ma9lob?","واخا, منخوض ولا ماقلوب?",حسنًا، مُخَلَّط أم مُقَلَّب؟,TRUE,AMRAOUI Nouhaila,,واخا، مخلوض ولا محرك؟,FALSE,Rajaa,,,,,
4884,"Do you want crisps, nuts or anything to nibble?",wach bghiti ra9a2i9 dyal bTaTa o lmoksarat wla chi 7aja khra t3aDha?,واش بغيتي راقاإق ديال بطاطا أُ لموكسارات ولا شي حاجا خرا تعاضها?,هل تريد رقائق البطاطس، المكسرات أو أي شيء للتقرمش؟,TRUE,AMRAOUI Nouhaila,,واش بغيتي فريت أُولا لموكسارات ولا شي حاجا خرا تاكلها ؟,FALSE,Rajaa,,,,,
4885,"Shaken, I guess","mnkhouDa, kanDn","منخوضا, كانضن",مُهَزَّز، أظن,TRUE,AMRAOUI Nouhaila,,مخلوض، كانضن,TRUE,Yassine,,,,,
4886,"Crisps would be fine, I'm starving","chips ghadi tkon mzyana, ghanmout b jo3","شيپس غادي تكون مزيانا, غانموت ب جوع",ستكون البطاطس المقرمشة جيدة، أنا جائع جدًا,TRUE,AMRAOUI Nouhaila,,فريت غادي تكون مزيانا، غانموت ب جوع,FALSE,Yassine,,,,,
4887,I haven't eaten anything all day,maklit walo nhar kaml,ماكليت والو نهار كامل,لم آكل أي شيء طوال اليوم,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4888,Here is the menu,hadi hiya l9a2ima,هادي هييا لقاإما,ها هي القائمة,TRUE,AMRAOUI Nouhaila,,هادا هوا ل منو,TRUE,Yassine,,,,,
4889,Here is the menu,hada hoa l menu,هادا هوا ل منو,ها هي القائمة,TRUE,AMRAOUI Nouhaila,,هادا هوا ل منو,TRUE,Yassine,,,,,
4890,We do some great bar snacks,kandiro chi wajbat khfifa zwina f lbar,كانديرو شي واجبات خفيفا زوينا ف لبار,نحن نقدم بعض المقبلات الرائعة للبار,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4891,"Ah, I thought it was free with the glass","ah, s7abli kan fabor m3a tlj","أه, سحابلي كان فابور معا تلج",آه، ظننت أنه مجاني مع الكأس,TRUE,AMRAOUI Nouhaila,,أه، سحابلي راه فابور معا تلج,FALSE,Yassine,,,,,
4892,Or you could have something else,wla y9dar takhod chi 7aja khra,ولا يقدار تاخود شي حاجا خرا,أو يمكنك أن تختار شيئًا آخر,TRUE,AMRAOUI Nouhaila,,ولا تقدار تاخود شي حاجا خرا,TRUE,Yassine,,,,,
4893,I don't have much money on me,ma3ndich bzaf dyal lflos m3aya,ماعنديش بزاف ديال لفلوس معايا,ليس لدي الكثير من المال معي,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4894,I don't have much money on me,ma8azch m3aya flous bzaf,ماهازش معايا فلوس بزاف,ليس لدي الكثير من المال معي,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4895,The crisps in this little bowl come with your drink,chips katji fhad zlafa sghira katji m3a lmachrob dyalk,شيپس كاتجي فهاد زلافا سغيرا كاتجي معا لماشروب ديالك,البطاطس المقرمشة في هذا الوعاء الصغير تأتي مع مشروبك,TRUE,AMRAOUI Nouhaila,,فريت كاتجي فهاد زلافا صغيرا معا لماشروب ديالك,FALSE,Yassine,,,,,
4896,"Okay, thank you very much",wakha chokran lik bzaf,واخا شوكران ليك بزاف,حسنًا، شكرًا جزيلًا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4897,Maybe you could have chosen a cheaper drink!,kan momkin tkhtar machrob rkhas,كان مومكين تختار ماشروب رخاس,ربما كان بإمكانك اختيار مشروب أرخص!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4898,But then you're a new waitress,walakin idan nti srbaya jdida,والاكين إدان نتي سربايا جديدا,ولكنك إذن تكونين نادلة جديدة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4899,I come here often and I've never seen you?,kanji l8na ch7al mn mra o ma3mri chaftak?,كانجي لهنا شحال من مرا أُ ماعمري شافتاك?,أنا آتي إلى هنا كثيرًا ولم أراك من قبل؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4900,"Yes, I am definitely new here but as you are a regular you know how expensive the cocktails are here","ah, ana jdida 8na Tab3an, walakin 7int nta dima katji 8na ghadi tkon 3arf ch7al ghali cocktailat 8na","أه, أنا جديدا هنا طابعان, والاكين حينت نتا ديما كاتجي هنا غادي تكون عارف شحال غالي كوككتايلات هنا",نعم، أنا بالتأكيد جديد هنا ولكن كونك شخصاً معتاداً هنا تعلم مدى غلاء الكوكتيلات هنا,TRUE,AMRAOUI Nouhaila,,أه، أنا جديدا هنا طابعان، والاكين حينت نتا ديما كاتجي هنا غادي تكون عارف شحال غاليين كوككتايلات هنا,FALSE,Yassine,,,,,
4901,You need to look after yourself and eat first before drinking,nta m7taj annak diha frask o takol awalan 9bal matchrab,نتا محتاج أنّاك ديها فراسك أُ تاكول أوالان قبال ماتشراب,عليك أن تعتني بنفسك وتأكل أولاً قبل الشرب,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4902,Not that it is my business,hada machi so9i,هادا ماشي سوقي,ليس من شأني,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4903,Not that it is my business,hadchi machi chghli,هادشي ماشي شغلي,ليس من شأني,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4904,"Hey, you're not my mother!","blati, nti machi mama!","بلاتي, نتي ماشي ماما!",مهلاً، أنت لست أمي!,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4905,it reminds me of my travels in Brazil,katfakarni bra7alati flbrazil,كاتفاكارني براحالاتي فلبرازيل,إنه يذكرني برحلاتي في البرازيل,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4906,I was only a bit concerned as you said you were so hungry and did not prioritise eating,knt khayfa chwiya 7it galti bila knti ji3an o masbbe9tich lmakla,كنت خايفا شوييا حيت ڭالتي بيلا كنتي جيعان أُ ماسبّقتيش لماكلا,كنت قلقًا بعض الشيء لأنك قلت إنك جائع جدًا ولم تعطِ الأولوية للأكل,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4907,When did you go there?,n8arach mchiti ltama,نهاراش مشيتي لتاما,متى ذهبت إلى هناك؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4908,When did you go there?,fo9ach mchiti ltma,فوقاش مشيتي لتما,متى ذهبت إلى هناك؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4909,I would love to travel there,makra8tch nsafr tma,ماكراهتش نسافر تما,أود السفر إلى هناك,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4910,I worked there for six months as a waitress,khdamt tma sta dyal chohor srbaya,خدامت تما ستا ديال شوهور سربايا,عملت هناك لمدة ستة أشهر كنادلة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4911,I worked there for six months as a waitress,khdmt tma stt ch8our srbay,خدمت تما ستّ شهور سرباي,عملت هناك لمدة ستة أشهر كنادلة,TRUE,AMRAOUI Nouhaila,,خدمت تما ستّ شهور سربايا,FALSE,Yassine,,,,,
4912,It was last year,hadchi kan l3am lli fat,هادشي كان لعام اللي فات,كان ذلك في العام الماضي,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4913,I didn't know what to do after graduation,makntch 3arf ach ndir mora takharoj,ماكنتش عارف أش ندير مورا تاخاروج,لم أكن أعرف ماذا أفعل بعد التخرج,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4914,Do you speak the language?,wach kat8dar llogha?,واش كاتهدار اللوغا?,هل تتحدث اللغة؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4915,was it brilliant?,"wach kant zwina?""","واش كانت زوينا?""",هل كان رائعًا؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4916,"Yes, a little, but it gets forgotten","ah, chwiya, walakin kattnsa chwia","أه, شوييا, والاكين كاتّنسا شويا",نعم، قليلاً، ولكن تنسى,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4917,I forgot about it,nsito,نسيتو,نسيت عنه,TRUE,AMRAOUI Nouhaila,,نسيتها,FALSE,Yassine,,,,,
4918,Linguists are funny,loghawiyin moD7ikin,لوغاوييين موضحيكين,علماء اللغة مضحكون,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4919,Have I got the right date?,wach jbt tarikh S7i7,واش جبت تاريخ صحيح,هل حصلت على التاريخ الصحيح؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4920,Saturday 11 June,sbt 11 younyou,سبت 11 يونيو,السبت 11 يونيو,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4921,Is that right?,wach hadchi bsa7?,واش هادشي بساح?,هل هذا صحيح؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4922,It is going to be a lot of fun,ghadi ykon bzaf dyal nachaT,غادي يكون بزاف ديال ناشاط,سيكون ممتعًا جدًا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4923,"Yeah, you have the right date, I'll confirm it","ah, 3andak tarikh S7i7, ghadi n2akd lik","أه, عانداك تاريخ صحيح, غادي نأكد ليك",نعم، لديك التاريخ الصحيح، سأؤكده,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4924,Can you bring a couple of bottles of champagne?,wach ta9dar tjib joj 9ar3at dyal champagne?,واش تاقدار تجيب جوج قارعات ديال شامپاڭن?,هل يمكنك إحضار بضع زجاجات من الشمبانيا؟,TRUE,AMRAOUI Nouhaila,,واش تاقدار تجيب جوج قارعات ديال شامپاني؟,FALSE,Yassine,,,,,
4925,I think it is probably better if you ask friends to bring a bottle,kanDn 7sn annak Tlb SS7ab ijibo 9ar3a,كانضن حسن أنّاك طلب الصحاب إجيبو قارعا,أعتقد أنه من الأفضل على الأرجح إذا طلبت من الأصدقاء أن يحضروا زجاجة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4926,As I am your good friend I can tell you directly,7itach ana sa7bak l9rib ghadi ngolik nichan,حيتاش أنا ساحباك لقريب غادي نڭوليك نيشان,بما أنني صديقك الجيد يمكنني أن أخبرك مباشرة,TRUE,AMRAOUI Nouhaila,,حيتاش أنا صاحباك لقريب غادي نڭوليك نيشان,FALSE,Yassine,,,,,
4927,I don't think it is a good idea to ask for expensive champagne,makanDnch fikra mzyana annak Tlab champagne ghalya,ماكانضنش فيكرا مزيانا أنّاك طلاب شامپاڭن غاليا,لا أعتقد أنها فكرة جيدة أن تطلب شمبانيا باهظة الثمن,TRUE,AMRAOUI Nouhaila,,ماكانضنش فيكرا مزيانا أنّاك طلاب شامپاني غاليا,FALSE,Yassine,,,,,
4928,You may make people feel uneasy,ghadi tkhali nas y7aso b3adam irtiya7,غادي تخالي ناس يحاسو بعادام إرتيياح,قد تجعل الناس يشعرون بعدم الارتياح,TRUE,AMRAOUI Nouhaila,,غادي تخالي ناس يحاسو بتبرزيط,FALSE,Yassine,,,,,
4929,I can help you with lots of the other organising,na9dar n3awnak f bzaf dyal tanDimat lokhra,ناقدار نعاوناك ف بزاف ديال تانضيمات لوخرا,يمكنني مساعدتك في تنظيم الكثير من الأمور الأخرى,TRUE,AMRAOUI Nouhaila,,ناقدار نعاوناك ف بزاف ديال تانضيمات أوخرا,FALSE,Yassine,,,,,
4930,"Decorations, food, music and anything else","tazyin, lmakla, lmosi9a o ay 7aja khra","تازيين, لماكلا, لموسيقا أُ أي حاجا خرا",الزينة، الطعام، الموسيقى وأي شيء آخر,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4931,"Take cheap ingredients, it's only a birthday, not the reception of an ambassador.","khod mokawinat rkhisa, rah ghir 3id milad, machi isti9bal dyal amir","خود موكاوينات رخيسا, راه غير عيد ميلاد, ماشي إستيقبال ديال أمير",خذ مكونات رخيصة، إنها مجرد عيد ميلاد، وليست استقبال سفير.,TRUE,AMRAOUI Nouhaila,,خود موكاوينات رخيسا، راه غير عيد ميلاد، ماشي إستيقبال ديال سفير,FALSE,Yassine,,,,,
4932,Your birthday is important but I agree you don't have to spend a lot to make a great party,3id miladk mohim walakin kantafa9 m3ak 3la ano makhasakch tkhsar bzaf dyal lflos bach t9ad 7afla zwina,عيد ميلادك موهيم والاكين كانتافاق معاك علا أنو ماخاساكش تخسار بزاف ديال لفلوس باش تقاد حافلا زوينا,عيد ميلادك مهم ولكن أوافق على أنه لا يجب عليك إنفاق الكثير لإقامة حفلة رائعة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4933,"Sorry, I mean Ambassador",sma7 liya bghit ngol safir,سماح لييا بغيت نڭول سافير,آسف، أقصد السفير,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4934,What sort of music were you thinking of?,achmn nawy3 dyal lmosi9a liknti katfakr fiha,أشمن ناويع ديال لموسيقا ليكنتي كاتفاكر فيها,أي نوع من الموسيقى كنت تفكر فيه؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4935,Do you have anything to play it on that would be loud enough?,wach 3andak chi 7aja fach tla3bo otkon bsawt mj88ed,واش عانداك شي حاجا فاش تلاعبو أُتكون بساوت مجهّد,هل لديك أي شيء لتشغيله بصوت عالٍ بما فيه الكفاية؟,TRUE,AMRAOUI Nouhaila,,واش عانداك شي حاجا فاش طلقو أُتكون بساوت مجهّد,FALSE,Yassine,,,,,
4936,Or do you have any friends who could play instruments?,wla wach 3andak chi S7ab kayl3bo 3la alat lmosi9ia,ولا واش عانداك شي صحاب كايلعبو علا ألات لموسيقيا,أو هل لديك أي أصدقاء يستطيعون العزف على الآلات الموسيقية؟,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4937,I have a few friends who play folk type instruments like the violin,3ndi chi s7abi kay3azfo 3la 2alat mosi9iya cha3biya b7al lkamanja,عندي شي سحابي كايعازفو علا ألات موسيقييا شاعبييا بحال لكامانجا,لدي بعض الأصدقاء الذين يعزفون على آلات موسيقية شعبية مثل الكمان,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4938,Maybe you would like that before rock music,momkin tabghiha 9bal mosi9a dyal rock,مومكين تابغيها قبال موسيقا ديال روكك,ربما ستحب ذلك قبل موسيقى الروك,TRUE,AMRAOUI Nouhaila,,مومكين تابغيها قبال موسيقا ديال روك,FALSE,Yassine,,,,,
4939,The first one to come with a bagpipe will be sent directly back to Scotland,awal wa7d kayji m3a lmizmar ghadi nsiftoh mobachara l skotlanda,أوال واحد كايجي معا لميزمار غادي نسيفتوه موباشارا ل سكوتلاندا,الشخص الأول الذي يأتي مع آلة القربة سيتم إرساله مباشرة إلى اسكتلندا,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4940,"It's my birthday, not a funeral",rah 3id miladi machi gnaza,راه عيد ميلادي ماشي ڭنازا,إنه عيد ميلادي، ليس جنازة,TRUE,AMRAOUI Nouhaila,,,,,,,,,
4941,Let's just stay rock,khlina ghir nb9aw f rock,خلينا غير نبقاو ف روكك,دعونا نبقى مع موسيقى الروك,TRUE,AMRAOUI Nouhaila,,خلينا نبقاو غير ف روك,FALSE,Yassine,,,,,
